type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,6.3,0.39,0.08,1.7,0.066,3,359.64,0.9954,3.34,0.58,9.4,5
red,9.53,0.76,0,1.8,0.05,27,33.85,0.9916,3.68,0.79,14,6
red,8.1,0.67,0.55,1.8,0.117,19.13,141,0.9968,3.17,0.62,9.4,5
white,5.8,0.68,0.02,40.18,0.087,21,94,0.9944,3.77,0.52,10,5
red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
red,8.33,0.49,0.1,57.01,0.074,12,121.45,0.9959,3.38,0.58,10.2,6
red,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
red,7.3,0.53,0.47,2.1,0.077,279.54,11,0.9958,3.33,1.93,10.3,6
red,9.2,0.52,1,27.75,0.61,32,69,0.9996,2.74,2,9.4,4
red,7.5,0.6,0.03,1.8,0.095,183.14,99,0.995,3.35,0.54,10.1,5
red,7.5,0.73,0.04,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,2.85,0.72,10.5,5
red,7.1,0.43,1.3,5.5,0.071,28,128,0.9973,3.42,0.27,10.5,5
red,13.4,0.43,0.42,31.32,0.07,29,129,0.9973,3.42,0.72,10.5,5
red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
red,7.1,0.68,0,2.2,0.073,12,22,0.9969,2.88,0.5,9.3,5
red,6.8,0.6,0.18,5.02,0.079,18,86,1,3.88,0.57,9.3,6
red,7.6,0.46,0.03,2,0.09,7,20,0.9959,2.83,0.56,9.6,5
red,7.6,0.68,0.02,18.49,0.072,251.21,20,0.9965,3.17,1.08,9.2,4
red,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
red,7.4,0.6,1.42,7.3,0.07,34.45,121,0.9982,3.37,0.49,10.06,5
red,7.3,0.59,0.26,7.2,0.07,35,121,1.02,3.37,0.49,9.4,5
red,7.8,1.3,0.48,46.01,0.44,14,96,0.9961,3.07,0.62,9.5,5
red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,2.93,1.82,10.2,5
red,4.42,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
red,12.59,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.39,10.4,6
red,7.5,0.705,0.19,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
red,7.9,0.885,0.03,1.8,0.4,45.12,8,0.9972,3.38,0.33,9.1,4
red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
white,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,1.1,9.2,6
red,7.4,0.62,0.05,1.9,0.068,99.66,42,0.9961,3.42,0.57,11.5,6
white,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
red,7.5,0.52,0.42,2.3,0.087,8,38,1.02,3.58,0.61,10.5,6
red,7,0.805,0,2.5,0.068,60.7,20,0.99,3.48,0.56,9.6,5
red,6.43,0.61,0.14,2.4,0.067,10,42,1.03,2.98,0.59,14.49,5
red,8.8,1.25,0.14,2.4,0.067,138.05,42,0.9969,3.19,0.59,10.72,5
red,8.9,0.61,0.49,2,0.45,23,110,0.9972,3.12,1.02,9.3,5
red,7.2,0.73,0.02,5.34,0.076,16,187.04,0.9972,3.44,0.52,8.29,5
red,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
red,6.7,0.62,0.21,1.9,0.079,15.61,62,0.997,3.52,0.58,9.3,6
red,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
red,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
red,7.7,0.705,0.1,33.07,0.084,9,26,0.9976,3.39,0.49,9.7,5
red,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
red,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
red,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5
red,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
red,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,10.82,5
white,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
red,7.8,1.07,0.33,2,0.074,24,120,0.9968,3.77,0.54,9.4,5
red,7.3,0.58,0.3,2.4,0.074,15,170.22,0.9968,3.46,0.59,10.2,5
red,11.5,0.3,0.6,2,0.49,12,27,0.9981,3.11,0.97,10.1,6
red,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
red,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
red,9.6,0.32,0.47,1.4,0.056,269.55,24,0.99695,3.22,0.82,10.3,7
red,8.8,0.37,0.48,2.1,0.097,39,145,1.01,3.66,1.03,9.3,5
white,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5
red,7,0.42,1.01,1.6,0.088,16,41.7,0.9961,3.34,0.55,9.2,5
white,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.73,0.56,12.82,6
red,12.8,0.3,0.74,2.6,0.095,9,258.01,0.9994,3.2,0.77,10.8,7
red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
red,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,1.46,9.4,5
red,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
red,5.98,0.53,0.11,2,0.22,5,19,0.99585,3.3,0.86,12.4,6
red,8,0.92,0.24,2.8,0.083,10,62,0.99685,3.35,1.1,10,6
red,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
red,8.2,0.57,0.26,2.2,0.58,28,65,0.9959,3.3,0.43,10.1,5
red,7.8,0.735,0.08,2.4,0.092,10,362.95,0.9974,3.24,0.71,9.8,6
red,7,0.49,0.49,5.6,0.06,26,212.2,0.9974,3.34,0.76,10.5,5
white,8.7,0.625,0.16,2,0.101,214.89,49,0.9962,3.05,0.57,11,5
red,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,1.3,14.25,5
white,7.5,0.49,0.19,1.9,0.076,171.93,44,0.9957,3.39,0.54,9.7,5
red,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
red,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
red,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
red,6.8,0.61,1.36,1.5,0.057,5,10,0.99525,3.42,0.6,11.75,5
white,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
red,8.4,0.635,0.36,2,0.089,15,55,1.02,3.31,0.57,10.4,4
red,7.7,0.43,0.25,2.6,0.073,29,63,1.03,3.37,0.58,10.5,6
red,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
red,9,0.82,1.12,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
red,7.7,0.43,0.25,34.73,0.073,29,63,0.99615,3.37,0.58,10.5,6
red,14.63,1.26,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
red,11.22,0.48,0.04,1.6,0.054,186.66,106,0.9927,3.54,0.62,12.2,7
red,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
red,8.5,0.37,1.38,6.03,0.09,18,58,0.998,3.34,0.7,9.6,6
red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
red,8.2,1,0.09,2.3,0.065,7,130.25,0.99685,3.32,1.6,9,6
red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
red,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
red,7.2,0.63,0,1.9,0.48,280.87,38,0.99675,3.37,0.58,9,6
red,8.2,1,0.09,11.66,0.065,7,37,1.04,2.78,1.89,9,6
red,8.9,0.635,0.37,1.7,0.263,5,187.9,1,3,1.09,9.3,5
red,12,0.38,0.56,2.1,0.19,6,24,0.99925,3.14,0.71,10.9,6
red,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,8.9,7
white,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
red,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
red,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
red,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
red,10.8,0.32,0.44,1.6,0.063,16,100.56,0.9985,3.22,0.78,12.91,6
red,7.1,0.6,0,1.8,0.074,16,144.71,0.9972,3.47,0.7,9.9,6
red,11.1,0.35,0.48,3.1,0.09,5,65.43,0.9986,3.17,0.53,10.5,5
red,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,2.91,0.59,13.05,5
red,7.1,0.53,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
red,7.4,0.32,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.13,5
red,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.13,1.25,9.2,5
red,3.84,0.695,0,2.1,0.39,12,35.3,0.9968,3.49,0.67,9.2,5
red,7.7,0.41,0.76,33.56,0.611,8,45,0.9968,3.06,1.26,9.4,5
red,10,0.31,0.47,2.6,0.085,14,33,1.02,3.36,0.8,10.5,7
red,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.41,5
red,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
white,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
red,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
red,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
red,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
red,4.36,0.87,0,3.3,0.096,26,376.01,1.00025,3.6,0.72,9.8,4
red,7.9,0.35,0.46,3.6,0.078,15,37,1,3.35,1.69,12.8,8
red,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.92,9.4,6
red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
red,4.55,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
red,10.9,0.37,0.58,4,0.27,17,65,0.99935,3.22,0.78,10.1,5
red,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
red,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,1.72,11.28,5
red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.42,0.67,10.7,6
red,6.9,0.54,0.04,3,0.077,7,114.25,0.9987,3.92,0.91,10.53,6
red,11.5,0.74,0.61,4,0.104,4,23,0.9996,3.28,0.97,12.78,6
red,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.39,0.82,12.6,8
red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
red,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
red,7.7,0.27,0.68,3.5,0.358,5,10,1.03,3.25,1.08,9.9,7
red,14.11,0.52,0.12,3,0.1,12,18.36,0.9971,2.89,0.57,9.1,5
red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
red,9.9,0.62,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
red,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
red,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
red,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,9.75,6
red,13.65,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
red,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.53,0.95,9.2,5
red,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
red,11,0.2,0.48,2.24,0.343,6,18,0.9979,3.3,0.71,10.5,5
red,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
red,6.9,0.43,0.25,2.4,0.098,221.63,16,0.9964,3.41,0.6,11.57,6
red,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
red,10.53,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
red,10.6,0.9,0.49,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
red,13.38,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
red,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
red,6.9,0.67,0.06,34.3,0.08,8,33,0.99845,3.68,0.71,9.6,5
red,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
red,11.1,0.18,0.48,1.5,0.068,95.73,15,0.9973,3.22,0.64,10.1,6
red,8.3,0.98,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
red,7.4,0.67,0.27,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
red,8.4,0.19,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5
red,10.3,0.51,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
red,7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5
red,10.3,1.01,1.09,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
red,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
red,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
red,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,11.07,6
red,7.9,0.53,1.38,2,0.072,15,105,0.996,3.27,0.26,14.77,6
red,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
red,8.6,0.34,0.3,14.53,0.076,50.72,135,0.9976,3.3,0.53,9.4,5
red,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
red,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,2.76,0.65,11,6
red,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
red,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
red,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
red,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
red,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
red,9.3,0.61,0.26,51.52,0.09,25,87,0.99975,3.24,0.62,10.54,5
red,7.8,0.62,0.05,2.3,0.079,6,167.36,0.99735,3.29,0.63,9.3,5
red,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
red,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
red,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
red,15.88,0.15,0.66,3.65,0.121,6,14,0.9978,3.05,1.69,11.5,7
red,10.3,0.55,1.01,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
red,13.4,0.46,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.24,6
red,10.7,0.46,0.39,2,0.061,7,237.25,0.9981,3.18,0.62,9.5,5
red,10.2,0.6,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
red,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
red,8,0.58,0.28,3.2,0.066,21,114,1.03,3.2,0.54,9.4,6
red,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
red,7.9,0.65,0.01,2.5,0.078,17,38,1,3.34,0.74,14.78,7
red,11.9,0.695,0.53,3.4,0.45,7,21,0.9992,3.17,0.84,12.2,7
red,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.29,0.7,12.5,6
red,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
red,12.4,0.49,0.58,3,0.103,28,365.77,1.0008,3.16,1,11.5,6
red,7.75,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
red,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,8.14,6
red,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,10.14,6
red,10.9,1.32,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
red,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
red,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
red,11.38,0.685,0.22,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
red,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.33,1.08,12.3,7
red,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,8.94,6
red,9.6,0.41,0.31,2.8,0.23,15,46,0.9979,3.11,0.92,10,6
red,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
red,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
red,9.1,0.795,0,2.6,0.43,11,26,0.9994,3.35,0.83,9.4,6
red,7.7,0.665,0,2.4,0.29,8,19,0.9974,3.35,0.39,9.3,5
red,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5
red,6.1,0.21,1.06,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
red,6.7,0.75,1.34,2.4,0.19,17,32,1.02,3.55,0.61,12.8,6
red,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
red,10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,1.56,11.7,7
red,11.95,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
red,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
red,8.2,0.7,0.23,2,0.099,14,81,0.99,3.4,0.7,9.4,5
red,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6
white,11.9,0.58,0.66,2.5,0.072,6,367.46,0.9992,3.05,0.56,10,5
red,12.5,0.46,0.63,36.9,0.41,6,15,0.9988,2.99,1.23,10.2,5
red,7.37,0.615,0.66,5.8,0.083,87.75,42,1.0022,3.07,1.4,10,7
red,10,0.42,1.35,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
red,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
red,10.4,0.575,0.61,35.86,0.076,11,24,1,3.16,0.69,9,5
red,10.3,0.34,0.52,2.8,0.21,15,75,0.9998,3.18,0.77,9.4,5
red,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
red,6.9,0.765,0.02,2.3,0.063,35,63,1,3.57,0.78,13.57,5
red,7.9,0.24,0.4,1.6,0.61,11,25,0.9967,3.32,1.24,8.7,6
white,9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
red,7.4,0.55,0.22,2.2,0.106,12,140.38,0.9959,3.05,0.63,9.2,5
red,7.72,0.72,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
red,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.6,0.83,11.8,7
red,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
red,9.4,0.27,0.53,2.4,0.074,6,18,1.02,3.2,1.13,12,7
red,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6
red,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,1.45,10.8,6
red,8.3,1.03,0.42,2,0.08,87.22,27,0.9974,3.21,0.8,9.4,6
red,13.7,0.415,0.68,17.94,0.085,96.81,305.75,1.0014,3.61,0.8,10,6
red,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
red,5.53,0.26,0.77,57.97,0.08,11,27,0.9974,3.21,0.8,14.51,6
red,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,1.56,9.2,5
red,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
red,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
red,8.3,0.66,0.15,1.9,0.079,17,42,1.03,3.31,0.54,9.6,6
red,10.39,0.46,0.26,1.9,0.088,23,53,0.9981,3.47,0.74,9.2,6
white,9.6,0.38,0.31,24.19,0.096,16,49,0.9982,3.19,0.7,10,7
red,5.6,0.85,0.05,25.01,0.045,12,88,0.9924,3.56,1.96,12.9,8
red,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
red,9.5,0.37,0.52,2,0.082,186.82,26,0.998,3.18,0.51,9.5,5
red,8.4,1.11,1.6,27.5,0.6,13,95,0.997,3.16,0.54,9.1,5
red,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,11.18,5
red,12,0.37,0.76,4.2,0.066,7.21,38,1.0004,3.22,0.6,13,7
red,6.6,0.11,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
red,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,1.67,11,6
red,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,13.96,6
white,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
white,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
red,7.7,1.06,0.3,1.7,0.059,20,38,0.9949,3.29,0.75,10.8,6
red,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.91,6
white,11.4,0.6,0.28,2.7,0.085,10,41,1.02,3.15,0.63,10.5,6
red,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5
red,8.7,0.31,0.46,5.86,0.059,11,25,0.9966,3.36,0.76,10.1,6
white,9.8,0.44,0.47,2.5,0.063,271.69,28,0.9981,3.24,0.65,10.8,6
red,12,0.45,0.81,65.73,0.093,12,30,0.9996,3.18,0.63,10.8,7
red,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,9.34,6
red,12.5,0.46,0.49,47.38,0.07,26,49,0.9981,3.05,0.57,9.6,4
red,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6
red,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
red,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5
red,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
red,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
red,8.6,0.725,0.24,6.6,0.117,31,388.47,1.0014,3.57,1.07,9.3,5
red,10.6,0.48,0.64,2.2,0.111,6,216.78,0.997,2.87,0.66,11.7,6
red,7,0.58,0.19,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5
red,15.65,0.38,0.51,2,0.37,7,47,0.9996,3.24,0.76,10.4,6
red,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,1.67,9.9,5
red,9.5,0.56,0.03,2.4,0.089,35,112.24,0.9972,3.28,0.73,11.8,7
red,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,14.34,7
red,7.7,0.96,0.2,2,0.047,15,60,1.04,3.36,0.44,10.9,5
red,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
red,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
red,6.6,0.84,0.27,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
red,6.4,0.91,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
red,9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,8.68,6
red,9.1,0.52,0.33,1.3,0.07,9,173.37,0.9978,3.24,0.6,9.3,5
red,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
red,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
red,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
red,11.9,0.37,0.69,2.3,0.078,12,24,1,3,0.65,12.8,6
red,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
red,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.42,9.9,6
red,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
red,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6
red,11.1,1.3,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
red,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
red,7,0.13,0.18,5.81,0.062,7,120.58,0.9951,3.08,1.44,9.3,5
red,12.6,0.6,0.72,39.43,0.072,6,29,0.9987,2.88,1.02,12.63,8
red,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
red,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
red,10,0.44,0.49,2.7,0.25,11,19,0.9963,3.23,0.63,11.6,7
red,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,2.78,0.84,12.5,7
red,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
red,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5
red,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,10.78,5
red,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,13.22,6
red,7.64,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
red,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
white,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
red,6.8,0.56,0.03,31.78,0.55,18,410.77,0.9968,3.44,0.63,10,6
red,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
red,8.3,1.22,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
red,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,10.29,8
red,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
red,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
